"","grpvar","term","grp","condval","condsd"
"52","FlightNumber:FlightOrigin","(Intercept)","FlightNo_143:State_A",-0.0488978824210643,0.140101560158729
"53","FlightNumber:FlightOrigin","(Intercept)","FlightNo_144:State_E",-0.509033573775243,0.134817221418569
"54","FlightNumber:FlightOrigin","(Intercept)","FlightNo_145:State_B",0.290714187079376,0.0687848471518882
"55","FlightNumber:FlightOrigin","(Intercept)","FlightNo_146:State_E",-0.313561721335935,0.0775610581325034
"56","FlightNumber:FlightOrigin","(Intercept)","FlightNo_147:State_F",-0.0873823798608511,0.0750426244839241
"57","FlightNumber:FlightOrigin","(Intercept)","FlightNo_148:State_E",-0.264020314380114,0.0732555372710521
"58","FlightNumber:FlightOrigin","(Intercept)","FlightNo_149:State_E",-0.0512455433590625,0.0570315492156946
"59","FlightNumber:FlightOrigin","(Intercept)","FlightNo_15:State_C",0.220599748855034,0.0736392871347388
"60","FlightNumber:FlightOrigin","(Intercept)","FlightNo_150:State_E",0.0947743962576408,0.0826685105585697
"61","FlightNumber:FlightOrigin","(Intercept)","FlightNo_151:State_C",-0.156576716859983,0.1818067003724
"62","FlightNumber:FlightOrigin","(Intercept)","FlightNo_152:State_B",0.046336740800862,0.245488853104902
"63","FlightNumber:FlightOrigin","(Intercept)","FlightNo_153:State_C",0.0716350683297248,0.0669554384790202
"64","FlightNumber:FlightOrigin","(Intercept)","FlightNo_154:State_E",0.0748789986358757,0.111645093942904
"65","FlightNumber:FlightOrigin","(Intercept)","FlightNo_155:State_B",-0.372466055560286,0.107882692185634
"66","FlightNumber:FlightOrigin","(Intercept)","FlightNo_155:State_E",-0.0680076582321487,0.15110623978309
"67","FlightNumber:FlightOrigin","(Intercept)","FlightNo_156:State_D",-0.120972581689371,0.241498129293702
"68","FlightNumber:FlightOrigin","(Intercept)","FlightNo_157:State_E",0.166907644569907,0.116711295875624
"69","FlightNumber:FlightOrigin","(Intercept)","FlightNo_158:State_E",-0.0503190970743146,0.24941808414143
"70","FlightNumber:FlightOrigin","(Intercept)","FlightNo_159:State_E",-0.200237244180101,0.140684372562678
"71","FlightNumber:FlightOrigin","(Intercept)","FlightNo_16:State_E",-0.470787387482035,0.0520417838381948
"72","FlightNumber:FlightOrigin","(Intercept)","FlightNo_160:State_E",0.0257544052185222,0.24318641813371
"73","FlightNumber:FlightOrigin","(Intercept)","FlightNo_161:State_D",-0.283593062867394,0.108200249096554
"74","FlightNumber:FlightOrigin","(Intercept)","FlightNo_162:State_D",0.0752733186199473,0.248829953593463
"75","FlightNumber:FlightOrigin","(Intercept)","FlightNo_163:State_F",0.496454847737752,0.10980181068454
"76","FlightNumber:FlightOrigin","(Intercept)","FlightNo_164:State_B",-0.192094585580371,0.234193467232843
"77","FlightNumber:FlightOrigin","(Intercept)","FlightNo_165:State_C",0.107538301192255,0.162991996973681
"78","FlightNumber:FlightOrigin","(Intercept)","FlightNo_166:State_D",0.462379713673149,0.0872070305409326
"79","FlightNumber:FlightOrigin","(Intercept)","FlightNo_167:State_D",0.00439770659333331,0.0957154510008981
"80","FlightNumber:FlightOrigin","(Intercept)","FlightNo_168:State_C",0.114008830935356,0.138997610942126
"81","FlightNumber:FlightOrigin","(Intercept)","FlightNo_169:State_D",-0.0968496278369404,0.174585405700386
"82","FlightNumber:FlightOrigin","(Intercept)","FlightNo_17:State_E",0.0306786884642289,0.0890796219780045
"83","FlightNumber:FlightOrigin","(Intercept)","FlightNo_170:State_F",-0.194123335588918,0.186552390738346
"84","FlightNumber:FlightOrigin","(Intercept)","FlightNo_171:State_D",-0.13283308806412,0.227683936814704
"85","FlightNumber:FlightOrigin","(Intercept)","FlightNo_172:State_C",0.524893231360274,0.134917915993119
"86","FlightNumber:FlightOrigin","(Intercept)","FlightNo_173:State_C",0.0751100103617201,0.217751419090332
"87","FlightNumber:FlightOrigin","(Intercept)","FlightNo_174:State_C",0.165284367207396,0.187541716380154
"88","FlightNumber:FlightOrigin","(Intercept)","FlightNo_175:State_E",-0.0248601493432824,0.122302082198325
"89","FlightNumber:FlightOrigin","(Intercept)","FlightNo_176:State_E",-0.153381925254583,0.0733627922961383
"90","FlightNumber:FlightOrigin","(Intercept)","FlightNo_177:State_B",0.0242094284704906,0.193373669892882
"91","FlightNumber:FlightOrigin","(Intercept)","FlightNo_177:State_E",0.0855257433257403,0.126523025217164
"92","FlightNumber:FlightOrigin","(Intercept)","FlightNo_178:State_F",0.0534734247558859,0.239229363538861
"93","FlightNumber:FlightOrigin","(Intercept)","FlightNo_179:State_E",-0.1982185156355,0.147906285928566
"94","FlightNumber:FlightOrigin","(Intercept)","FlightNo_18:State_E",-0.135579122312929,0.136857247090046
"95","FlightNumber:FlightOrigin","(Intercept)","FlightNo_180:State_F",-0.21227850316651,0.155402852010537
"96","FlightNumber:FlightOrigin","(Intercept)","FlightNo_181:State_E",0.122317681039599,0.194803935487804
"97","FlightNumber:FlightOrigin","(Intercept)","FlightNo_182:State_E",0.0830367822981434,0.200112882290205
"98","FlightNumber:FlightOrigin","(Intercept)","FlightNo_183:State_B",-0.132937036135845,0.0959345841298506
"99","FlightNumber:FlightOrigin","(Intercept)","FlightNo_184:State_E",0.192740935094834,0.105703236058925
"100","FlightNumber:FlightOrigin","(Intercept)","FlightNo_185:State_E",-0.0953049131341794,0.230904677692944
"101","FlightNumber:FlightOrigin","(Intercept)","FlightNo_186:State_E",-0.0232712887299348,0.105013715627241
"102","FlightNumber:FlightOrigin","(Intercept)","FlightNo_187:State_E",-0.0371190206337235,0.130643532302213
"103","FlightNumber:FlightOrigin","(Intercept)","FlightNo_188:State_B",0.126331841931274,0.163024884209116
"104","FlightNumber:FlightOrigin","(Intercept)","FlightNo_189:State_E",0.380301734671588,0.159918524536616
"105","FlightNumber:FlightOrigin","(Intercept)","FlightNo_19:State_E",-0.282566032428884,0.0560143879124402
"106","FlightNumber:FlightOrigin","(Intercept)","FlightNo_190:State_E",0.0125398391347329,0.176976779391919
"107","FlightNumber:FlightOrigin","(Intercept)","FlightNo_191:State_B",0.0123886549940828,0.249110571524968
"108","FlightNumber:FlightOrigin","(Intercept)","FlightNo_192:State_A",-0.0247526064875085,0.108521227908595
"109","FlightNumber:FlightOrigin","(Intercept)","FlightNo_193:State_E",0.179083201684221,0.080919959287265
