"","Detec","Detec_lci","Detec_uci"
"(Intercept)",-2.09837460386499,-2.68772653250434,-1.50902267522564
"LocationAirport_B",0.175263522106481,-0.441360594945387,0.79188763915835
"LocationAirport_C",-0.143731692341542,-0.724549608712636,0.437086224029552
"LocationAirport_D",-0.165639275598952,-0.743790837563641,0.412512286365737
"LocationAirport_E",-0.0802960126192915,-0.699601842317313,0.53900981707873
"LocationAirport_F",-1.7979956654215,-2.5172148059521,-1.0787765248909
"RegimeBI x 2",-0.222910782677947,-0.345940028286848,-0.099881537069047
"RegimeDDT",1.10464145197453,1.04569876019045,1.1635841437586
"RegimeDDT + BI",0.879874057819781,0.813973606868065,0.945774508771496
"RegimeDDT x2",1.31060115937078,1.23663801772999,1.38456430101156
"sqrt.BagSearchCount.Z",0.21004199155773,0.201704093954238,0.218379889161221
"sqrt.PassengerCount.Z",0.713861867364152,0.677941347495347,0.749782387232957
