"","AIC","AICc","BIC","R2_conditional","R2_marginal","ICC","RMSE","Sigma","Score_log","Score_spherical"
"Pass_BAS_full_DD_total_glm",158303.126142815,158303.133160476,158429.12377124,0.570456927119758,0.543097431281898,0.0598803721209557,1.47459796005168,1,-1.31747237161908,0.00338035411393873
"Pass_BAS_full_Declari_glm",97483.3411331148,97483.3481507759,97609.3387615394,0.412673527772797,0.310580673646351,0.148085280211707,0.943393923476193,1,-0.808927272794455,0.00370974451310508
"Pass_BAS_full_Detectin_glm",123283.837426285,123283.844443946,123409.83505471,0.646797178578102,0.624852898237018,0.058495134942956,1.16603401608262,1,-1.02524548617218,0.0035038162771074
"Pass_BAS_full_DD_total_FF_glm",129489.821740871,129489.828758532,129615.819369296,0.531637064136716,0.498465751199578,0.0661396764358125,1.15236835025652,1,-1.07683870180429,0.003520490343174
"Pass_BAS_full_Declarin_FF_glm",82983.4348224186,82983.4418400797,83109.4324508432,0.422192907270785,0.329590715211099,0.138127848406582,0.805157853832595,1,-0.688042117096657,0.0037651107596107
"Pass_BAS_full_Detectin_FF_glm",92586.830863036,92586.8378806971,92712.8284914606,0.574185633467493,0.542953900089756,0.0683338800700211,0.861670867716855,1,-0.768983450304731,0.00368653980005487
