"","ELPD","ELPD_SE","LOOIC","LOOIC_SE","WAIC","R2","R2_marginal","ICC","RMSE","Sigma","Score_log","Score_spherical"
"Pass_BAS_full_DD_total_brm",-79096.1238919108,347.629121683356,158192.247783822,695.258243366713,158190.985484122,0.311647947513228,0.26609510698276,1,1.47454981828389,0,"-Inf","0.00149200972238233"
"Pass_BAS_full_DD_total_brm_zif",-77624.9845588412,319.526792273916,155249.969117682,639.053584547832,155248.972215035,0.280751486685434,0.241497912606121,1,1.45908184776666,0,"",""
"Pass_BAS_full_DD_total_brm_ngb",-74752.399801318,273.488484019156,149504.799602636,546.976968038313,149504.181699141,0.499951708643924,0.499695356730206,1,21.3094648817425,0,"",""
"Pass_BAS_full_DD_total_brm_ngbzif",-74646.6707998707,274.415825167086,149293.341599741,548.831650334172,149292.826421124,0.500087728375499,0.499958360621034,1,30.2244892146872,0,"",""
"Pass_BAS_full_Declarin_FF_brm",-41421.3613989374,320.86151354822,82842.7227978748,641.723027096439,82841.4697543885,0.138376699429687,0.10480867462926,1,0.805247997461171,0,"-Inf","0.00176622410733477"
"Pass_BAS_full_Declarin_FF_brm_zif",-37836.2272892184,270.566668324017,75672.4545784369,541.133336648033,75671.1903595625,0.0939502987614611,0.075824500218354,1,0.800399571392527,0,"",""
"Pass_BAS_full_Declarin_FF_brm_ngb",-37135.6019141624,257.886788923133,74271.2038283248,515.773577846265,74270.320527002,0.49328764262689,0.492593015554416,1,4.35677935327763,0,"",""
"Pass_BAS_full_Declarin_FF_brm_ngbzif",-37096.255978381,257.885075355793,74192.511956762,515.770150711587,74191.6885325613,0.496201147114028,0.495850621217176,1,5.73920120022958,0,"",""
