Id,ActivityId,InterventionId,FinishTime,ActivityType,InterventionType,CommodityType,Commodity,Weight
6301732,6298933,6301731,2022-05-15T11:27:38Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6301872,6298472,6301871,2022-05-15T12:00:18Z,Airport,Declared,Fruit & Veg,APPLES,0.2
6308613,6302557,6308612,2022-05-16T02:20:38Z,Airport,Detected,Fruit & Veg,APPLES,0.1
6308738,6302579,6308737,2022-05-16T02:29:13Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6310314,6302844,6310313,2022-05-16T07:20:45Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6310315,6302844,6310313,2022-05-16T07:20:45Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6310406,6302866,6310405,2022-05-16T07:40:17Z,Airport,Detected,Fruit & Veg,MANDARINS,0.09
6310479,6302910,6310478,2022-05-16T08:10:32Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6310503,6302910,6310502,2022-05-16T08:10:32Z,Airport,Declared,Fruit & Veg,BANANAS,0.12
6310550,6302219,6310549,2022-05-16T08:24:01Z,Airport,Detected,Fruit & Veg,APPLES,0.4
6310706,6302285,6310682,2022-05-16T11:05:19Z,Airport,Detected,Fruit & Veg,BLUEBERRIES,0.03
6310683,6302285,6310682,2022-05-16T11:05:19Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6310926,6303042,6310925,2022-05-16T11:10:19Z,Airport,Detected,Fruit & Veg,MANDARINS,0.09
6316792,6311230,6316791,2022-05-17T07:27:59Z,Airport,Declared,Fruit & Veg,APPLES,0.2
6317090,6317025,6317089,2022-05-17T09:10:08Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
6317114,6317025,6317113,2022-05-17T09:10:08Z,Airport,Declared,Fruit & Veg,MANDARINS,0.25
6317851,6311913,6317850,2022-05-17T04:30:09Z,Airport,Detected,Fruit & Veg,BANANAS,0.1
6321819,6317971,6321818,2022-05-18T00:20:30Z,Airport,Detected,Fruit & Veg,BANANAS,0.26
6322301,6317993,6322300,2022-05-18T00:40:06Z,Airport,Detected,Fruit & Veg,BANANAS,0.13
6322535,6318037,6322534,2022-05-18T00:55:04Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6322629,6317563,6322628,2022-05-18T01:15:07Z,Airport,Detected,Fruit & Veg,MANDARINS,1
6322630,6317563,6322628,2022-05-18T01:15:07Z,Airport,Detected,Fruit & Veg,PERSIMMONS,0.4
6323497,6318081,6323496,2022-05-18T02:15:32Z,Airport,Detected,Fruit & Veg,BANANAS,0.26
6324817,6317629,6324816,2022-05-18T05:03:20Z,Airport,Detected,Fruit & Veg,APPLES,0.2
6324841,6317629,6324840,2022-05-18T05:03:20Z,Airport,Detected,Fruit & Veg,MANDARINS,0.1
6325469,6318235,6325468,2022-05-18T06:20:05Z,Airport,Declared,Fruit & Veg,MANDARINS,0.1
6325929,6318284,6325928,2022-05-18T08:21:55Z,Airport,Declared,Fruit & Veg,ORANGES,0.15
6326054,6318350,6326053,2022-05-18T09:40:45Z,Airport,Detected,Fruit & Veg,MANDARINS,0.18
6326292,6318372,6326291,2022-05-18T10:30:35Z,Airport,Detected,Fruit & Veg,APPLES,0.15
6326293,6318372,6326291,2022-05-18T10:30:35Z,Airport,Detected,Fruit & Veg,BANANAS,0.15
6326334,6318372,6326333,2022-05-18T10:30:35Z,Airport,Detected,Fruit & Veg,BANANAS,0.3
6327964,6326998,6327963,2022-05-18T23:30:43Z,Airport,Declared,Fruit & Veg,BANANAS,0.1
6328417,6326627,6328416,2022-05-19T00:37:51Z,Airport,Declared,Fruit & Veg,BANANAS,0.2
